"#Sales/#Orders","#Vendas/#Pedidos"
"Additional Commission Percentage","Percentagem Adicional de Comissão"
"Additional commissions received","Comissões adicionais recebidas"
"Address","Endereço"
"Address Information","Informação de Endereço"
"Affiliate","Afiliado"
"Affiliate Account","Conta de Afiliado"
"Affiliate Account Information","Informações da conta do Afiliado"
"Affiliate Credit","Crédito Afiliado"
"Affiliate Discount","Desconto de Afiliado"
"Affiliate Email","E-mail de Afiliado"
"Affiliate Home","Início"
"Affiliate Link","Link Afiliado"
"Affiliate Login","Login de Afiliado"
"Affiliate Name","Nome Afiliado"
"Affiliate Plus","Afiliado Plus"
"Affiliate Program","Programa de Afiliados"
"Affiliate Store Credit","Crédito da loja Afiliado"
"Affiliate login","Login Afiliado"
"Affiliateplus","Afiliados"
"Affiliates","Programa de Afiliados"
"After this time, a new click/view from each IP will be counted as an unique click/view.","Após esse período, um novo clique / visualização de cada IP será contado como um único clique / visualização."
"All","Todos"
"All time","Tempo todo"
"Allow Everything","Permitir tudo"
"Allow affiliates to cancel withdrawal request within","Permitir que Afiliados cancelem o pedido de retirada dentro"
"Allow withdrawal request","Permitir pedido de retirada"
"Amount","Montante"
"Amount To Transfer","Quantia para transferir"
"Amount (Excl. Tax)","Valor (Excl. Tax)"
"An authentication code has been sent to you. Please take the following steps to verify your email address.","Um código de autenticação foi enviado para você. Por favor, siga os seguintes passos para verificar o seu endereço de email."
"Apply","Aplique"
"Approved","Aprovado"
"Are you sure you want to pay out for this account?","Tem certeza de que deseja pagar por essa conta?"
"Are you sure of paying out for this withdrawal?","Tem certeza de pagar por essa retirada?"
"Are you sure?","Você tem certeza?"
"Associate to Website","Associe-se ao site"
"Authentication Code","Código de Autenticação"
"Automatic Payout for Affiliate through Paygate","Pagamento automático para Afiliado através da paygate"
"Automatically pay out for Affiliate through the paygate","Pague automaticamente pelo Afiliado através da porta de pagamento"
"Applied when transaction is canceled or completed","Aplicado quando a transação é cancelada ou concluída"
"Back","Voltar"
"Back to Edit","Voltar á editar"
"Balance","Equilibrar"
"Balance: %s","Saldo:%s"
"Banner Information","Informação do Banner"
"Banner Manager","Gerenciador de banner"
"New Banner","Novo banner"
"Banner Type","Tipo de Banner"
"Banner View","Banner View"
"Banner does not exist","Banner não existe"
"Banner information","Informações Banner"
"The banner has been deleted successfully.","O banner foi excluído com sucesso."
"The banner has been saved successfully.","O banner foi salvo com sucesso."
"Banners","Banners"
"Banner Manager","Gerenciador de banner"
"Both Affiliate program Discount and Shopping cart Discount","Desconto para o Programa de Afiliados e Desconto no Carrinho de Compras"
"CSV","CSV"
"Cancel","Cancelar"
"Cancel Withdrawal","Cancelar retirada"
"Cancel Withdrawals","Cancelar retiradas"
"Canceled","Cancelado"
"Cannot find any payment method to configure","Não é possível encontrar nenhum método de pagamento para configurar"
"Captcha code","Código captcha"
"Change Password","Mudar senha"
"Change status","Alterar status"
"Checking email address","Verificando o endereço de email"
"City","Cidade"
"Click/View Fraud Detection Configuration","Clique / Exibir configuração de detecção de fraude"
"Clicks","Cliques"
"Commission","Comissão"
"Commission Configuration","Configuração da Comissão"
"Commission Type","Tipo de Comissão"
"Commission Type (from 2nd order)","Tipo de Comissão (de 2ª ordem)"
"Commission Value","Valor da Comissão"
"Commission Value (from 2nd order)","Valor da Comissão (de 2ª ordem)"
"Commission type","Tipo de comissão"
"Commissions","Comissões"
"Commission Paid","Comissão paga"
"Complete Manually","Complete manualmente"
"Complete Withdrawal","Retirada Completa"
"Completed","Concluído"
"Complete","Completo"
"Confirm","confirme"
"Confirm New Password","Confirme a nova senha"
"Confirm Password","Confirme a Senha"
"Cookie Expiration (Days)","Expiração do cookie (dias)"
"Copy and paste this source code into your website or forum.","Copie e cole este código-fonte em seu site ou fórum."
"Country","País"
"Select Welcome page of your Affiliate system","Selecione a página de boas-vindas do seu sistema de Afiliados"
"Create Withdrawal","Criar retirada"
"Create Your Account","Crie sua conta"
"Create and complete Withdrawal","Criar e completar a retirada"
"Current Balance","Saldo Atual"
"Current Password","senha atual"
"Custom Url","URL personalizado"
"Customer","Cliente"
"Customer Email","Email do cliente"
"Customer Email Address","Endereço de e-mail do cliente"
"Order ID","ID do pedido"
"Order Status","Status do pedido"
"Order Subtotal","subtotal do pedido"
"Customer Since","Cliente desde"
"DESC","DESC"
"Date","Encontro"
"Delete","Excluir"
"Delete Account","Deletar conta"
"Delete Banner","Excluir banner"
"Delete File","Excluir arquivo"
"Delete Withdrawal"Excluir retirada"
"Detect By Cookie","Detectar por cookie"
"Detect By Iframe","Detectar pelo iframe"
"Detect By Software","Detectar por software"
"Detect Proxy By Header","Detectar proxy por cabeçalho"
"Detect Proxy By IP Bank","Detectar proxy por banco de IP"
"Detect Proxy By gethostbyaddr Function","Detectar Proxy Por função gethostbyaddr"
"Detect by Ip address","Detectar por endereço IP"
"Disabled","Desativado"
"Discount","Desconto"
"Discount Configuration","Configuração de desconto"
"Discount Type","Tipo de desconto"
"Discount Type (from 2nd order)","Tipo de Desconto (de 2ª ordem)"
"Discount Value","Valor de desconto"
"Discount Value (from 2nd order)","Valor de desconto (a partir da segunda ordem)"
"Discount on","Desconto em"
"Discount displayed","Desconto exibido"
"Discount policy","Política de desconto"
"Edit","Editar"
"Edit Account ","Editar conta"
"Edit Banner ","Editar banner"
"Edit Customer","Editar cliente"
"Edit Withdrawal for ","Editar retirada para"
"Edit Withdrawals","Editar retiradas"
"Email","O email"
"Email Address","Endereço de e-mail"
"Email Configuration","Configuração de email"
"Email template of Payment verification","Modelo de email da verificação de pagamento"
"Email template sent to admin when a new affiliate registers","Modelo de email enviado para o administrador quando um novo Afiliado se registra"
"Email template sent to admin when a transaction is created","Modelo de email enviado ao administrador quando uma transação é criada"
"Email template sent to admin when an affiliate requests withdrawal","Modelo de e-mail enviado ao administrador quando um Afiliado solicita retirada"
"Email template sent to affiliate account when a transaction is changed","Modelo de email enviado para uma conta Afiliado quando uma transação é alterada"
"Send email to affiliates when transaction status is changed","Enviar email para Afiliados quando o status da transação é alterado"
"Email template sent to affiliates when commission of a transaction is reduced","Modelo de email enviado aos Afiliados quando a comissão de uma transação é reduzida"
"Email template sent to affiliate when a transaction is created","Modelo de email enviado para Afiliado quando uma transação é criada"
"Email template sent to affiliate when withdrawal is processed","Modelo de email enviado para Afiliado quando a retirada é processada"
"Email template sent to newly approved affiliates","Modelo de email enviado para Afiliados recém-aprovados"
"Email template sent to newly registered affiliates","Modelo de email enviado para Afiliados recém-registrados"
"Email: ","O email:"
"Enabled","ativado"
"Enter your friends' emails here (separated by comma)","Digite os e-mails de seus amigos aqui (separados por vírgula)"
"Estimated Fee","Taxa estimada"
"Excluding Fee","Taxa excluindo"
"The number of days for admin to store cookies of this program. Affiliates and invited customers can receive commission and discount for purchases made through affiliate link within this time."O número de dias para o administrador armazenar cookies deste programa. Os Afiliado e os clientes convidados podem receber comissões e descontos pelas compras efetuadas através do link de Afiliado dentro deste prazo."
"FORWARDED","Encaminhado"
"Facebook","Facebook"
"Fax","Fax"
"Fee","Taxa"
"Fee: ","Taxa:"
"Filter:","Filtro:"
"First Name","Primeiro nome"
"Fixed","Fixo"
"Flash","Instantâneo"
"From","A partir de"
"From Date","Da data"
"General Configuration","Configuração Geral"
"General Information","Informação geral"
"Get Affiliate Link","Obter link de Afiliado"
"Get Link","Obter link"
"Getting new captcha","Obtendo novo captcha"
"Global","Global"
"Gmail","Gmail"
"Google+","Google+"
"Group","Grupo"
"History","História"
"History Withdrawal","Retirada da História"
"History transaction","Transação histórico"
"Holding period","Período de espera"
"ID","identidade"
"IP Reset Time (days)","Tempo de reinicialização do IP (dias)"
"If No, system will be faster","Se não, o sistema será mais rápido"
"Image","Imagem"
"Import Customer Info","Importar informações do cliente"
"Including %s tax","Incluindo %s imposto"
"Including Fee","Taxa incluída"
"Including fee","Incluindo taxa"
"Please re-enter your current password.","Por favor, digite novamente sua senha atual."
"Invalid email address","Endereço de email invalido"
"Invalid email address.","Endereço de email invalido."
"This item does not exist","Este item não existe"
"Items %s to %s of %s total","Itens %s a %s do total %s"
"Landing Page","Landing Page"
"Last Name","Último nome"
"Level %d","Nível %d"
"Lifetime Sales Commission","Comissão de vendas vitalícias"
"Link","Ligação"
"Link: ","Ligação:"
"Loading...","Carregando..."
"Login","Entrar"
"Please enter your username and password.","Por favor insira seu nome de usuário e senha."
"Login or create an account","Entre ou crie uma conta"
"Logout","Sair"
"Magestore Extension","Extensão Magestore"
"Create your own personal link","Crie seu próprio link pessoal"
"Manage Accounts","Gerenciar contas"
"Manage Banners","Gerenciar Banners"
"Manage Payments","Gerenciar pagamentos"
"Manage Transactions","Gerenciar Transações"
"Manage Withdrawals","Gerenciar retiradas"
"Manual","Manual"
"Material page using CMS","Página de material usando o CMS"
"Referring Materials","Materiais de referência"
"Method: ","Método:"
"The minimum balance required to request withdrawal is %s","O saldo mínimo necessário para solicitar a retirada é %s"
"Monthly","Por mês"
"Monthly additional commissions","Comissões adicionais mensais"
"My Affiliate Account","Minha conta de Afiliado"
"My Balance","Meu balanço"
"My Balance: ","Meu saldo:"
"N/A","N/D"
"Name","Nome"
"Need admin's approval","Precisa de aprovação do administrador"
"New Account","Nova conta"
"New Address","Novo endereço"
"New Banner","Novo banner"
"New Password","Nova senha"
"New Withdrawal","Nova retirada"
"The New Password field is empty. Please enter a new password.","O campo Nova senha está vazio. Por favor insira uma nova senha."
"Next","Próximo"
"No","Não"
"No.","Nº."
"Not Now","Agora não"
"Not including fee","Não incluindo taxa"
"Not verified","Não verificado"
"Notification after signing up","Notificação depois de se inscrever"
"OUR PROGRAM","NOSSO PROGRAMA"
"OUR PROGRAMS","NOSSOS PROGRAMAS"
"On Hold","Em espera"
"On product pages","Nas páginas do produto"
"On shopping cart page","Na página do carrinho de compras"
"Only Affiliate program Discount","Apenas desconto no programa de Afiliados"
"Only Shopping cart Discount","Apenas carrinho de compras Desconto"
"For creating a new affiliate account which does not exist in customer database","Para criar uma nova conta de Afiliado que não existe no banco de dados do cliente"
"Or retrieve contacts from","Ou recuperar contatos de"
"Order","Ordem"
"Order Number","Número do pedido"
"Page:","Página:"
"PayPal Email Address","Endereço de email do Paypal"
"Paid by Affiliate Credit","Pago por crédito Afiliado"
"The payment has been made successfully.","O pagamento foi efetuado com sucesso."
"Password","Senha"
"Password can be changed by an affiliate.","A senha pode ser alterada por um Afiliado."
"Path","Caminho"
"Pay","Pagamento"
"Pay Now","Pague agora"
"Pay commission","Comissão de pagamento"
"Pay for Order","Pagar por ordem"
"Pay for Order: ","Pagar pelo pedido:"
"Net profit of sale (Pay per Profit)","Lucro líquido de venda (pagamento por lucro)"
"Value of items sold (Pay per Sale)","Valor dos itens vendidos (pagamento por venda)"
"Pay per Sales/ Profit Commission","Pay per Sales / Profit Commission"
"Pay-per-Profit","Pagamento por Lucro"
"Pay-per-Sale","Pagamento por venda"
"Payer","Pagador"
"Payment","Forma de pagamento"
"Payment Email","E-mail de pagamento"
"Payment Info","Informação de pagamento"
"Payment Information","Informação de pagamento"
"Payment Manager","Gerente de pagamento"
"Payment Method","Método de pagamento"
"Payment Method Information","Informação do método de pagamento"
"New Payment","Novo pagamento"
"Payment by PayPal API","Pagamento por PayPal API"
"The required payment model is an abstract of class %s!","O modelo de pagamento requerido é um resumo da classe %s!"
"Payout","Pagamento"
"Payout Requirements","Requisitos de pagamento"
"Payout for ","Pagamento por"
"The minimum balance in affiliate account to request withdrawal","O saldo mínimo em conta de Afiliado para solicitar retirada"
"Paypal","Paypal"
"Paypal Email","Email do Paypal"
"Paypal Withdrawal method","Método de retirada do Paypal"
"Pending","Pendente"
"Percentage","Percentagem"
"Personal URL","URL pessoal"
"Please choose a valid payment method.","Por favor, escolha um método de pagamento válido."
"Please click %s if you have not received your verification email.","Clique em %s se você não recebeu seu e-mail de verificação."
"Please fill out all required fields in the form below.","Por favor, preencha todos os campos obrigatórios no formulário abaixo."
"The verification code entered is incorrect. Please try again.","O código de verificação inserido está incorreto. Por favor, tente novamente."
"Please fill in one of the links from our store such as: product URL, category URL or other pages\' URL into the text box below:","Por favor, preencha um dos links da nossa loja, tais como: URL do produto, URL da categoria ou URL de outras páginas na caixa de texto abaixo:"
"Please select region, state or province","Por favor selecione região, estado ou província"
"Please specify a payment method","Por favor especifique um método de pagamento"
"Post on Facebook","Postar no facebook"
"Preview: ","Visualizar:"
"Previous","Anterior"
"Process Commission","Comissão de Processos"
"Transaction Process Email","E-mail do processo de transação"
"Processing","Em processamento"
"Your message (use the suggestion or write your own)","Sua mensagem (use a sugestão ou escreva a sua)"
"Your  tweet (use the suggestion or write your own)","Seu tweet (use a sugestão ou escreva o seu próprio)"
"Product Name","Nome do Produto"
"Products Name","Nome dos produtos"
"Receive notification emails","Receber e-mails de notificação"
"Receive email notification","Receber notificação por email"
"Receive a unique affiliate link","Receba um link de Afiliado exclusivo"
"Recipient","Destinatário"
"Refer Friends and Earn Money","Indique amigos e ganhe dinheiro"
"Refer friends email template","Consulte o modelo de e-mail de amigos"
"Referrer","Referenciador"
"Referrers","Referenciadores"
"Refresh","Atualizar"
"Refunded","Devolveu"
"Refunded: ","Devolveu:"
"Request Amount","Quantia solicitada"
"Request Date","Data do Pedido"
"Request Information","Pedir informação"
"Request Payment","Solicitar pagamento"
"Request Withdrawal","Solicitação de retirada"
"Request withdrawal not allowed at this time.","Pedido de retirada não permitido neste momento."
"Date Requested","Data requerida"
"Requested time","Tempo solicitado"
"Require PayPal email address to sign up","Exigir que o endereço de e-mail do PayPal se inscreva"
"Require address to sign up","Requerer endereço para se inscrever"
"Required Fields","Os campos obrigatórios"
"Reset Filter","Repor Filtro"
"Review your payment and pay","Revise seu pagamento e pague"
"Review your request and send","Revise sua solicitação e envie"
"STORE VIEW","VISTA DE LOJA"
"Sale","Venda"
"Sales","Vendas"
"Sales Earnings","Lucro de vendas"
"Sales Statistic","Estatística de vendas"
"Sales Transactions","Transações de vendas"
"Save","Salvar"
"Save Account","Salvar conta"
"Save And Continue Edit","Salvar e Continuar Editar"
"Save Banner","Salvar banner"
"Save Withdrawal","Salvar retirada"
"Save and Pay Manually","Salvar e pagar manualmente"
"Search","Pesquisa"
"Select website(s) on which affiliates can use commissions to purchase items.","Selecione um site (s) no qual os Afiliado podem usar comissões para comprar itens."
"Select No" to apply the above commission to all orders","Selecione Não "para aplicar a comissão acima a todas as ordens"
"Select No" to apply above discount for all orders","Selecione Não "para aplicar o desconto acima para todos os pedidos"
"Select Account to Create Withdrawal","Selecione uma conta para criar retirada"
"Select Contacts","Selecione Contatos"
"Select Header Variables For Proxy Detection","Selecionar variáveis de cabeçalho para detecção de proxy"
"Select an address from your address book or enter a new address.","Selecione um endereço do seu catálogo de endereços ou insira um novo endereço."
"Select contacts to send email","Selecione contatos para enviar email"
"Select default payment method when affiliates request payment","Selecione o método de pagamento padrão quando os Afiliado solicitam pagamento"
"Send Email","Enviar email"
"Send Request","Enviar pedido"
"Send email to admin when a new affiliate registers","Enviar email para o administrador quando um novo Afiliado se registra"
"Send email to admin when a transaction is created","Enviar email para o administrador quando uma transação é criada"
"Send email to admin when an affiliate requests withdrawal","Enviar email para o administrador quando um Afiliado solicitar a retirada"
"Send email to affiliates when transaction status is changed","Enviar email para Afiliados quando o status da transação é alterado"
"Send email to affiliate when a transaction is created","Enviar email para Afiliado quando uma transação é criada"
"Send email to new affiliate","Enviar email para novo Afiliado"
"Settings","Configurações"
"Share","Compartilhar"
"Show","exposição"
"Show Material page","Mostrar página de material"
"Show Affiliate link in frontend","Mostrar link de Afiliado no frontend"
"Sign up for our Newsletters","Assine nossa newsletter"
"Affiliate Sign-up","Afiliados se Inscreva-se"
"Sign up Affiliate","Cadastre-se Afiliado"
"Affiliate Sign-up Email","E-mail de inscrição de Afiliado"
"Signup","Inscrever-se"
"Sign up for an Affiliate Account","Inscreva-se para uma conta de Afiliado"
"Affiliate Registration","Registro de Afiliado"
"Sign-up description","Descrição de inscrição"
"Size: %sx%s","Tamanho:%sx%s"
"Source File","Arquivo fonte"
"State/Province","Estado / Província"
"Status","Status"
"Status History","Histórico de status"
"Store","Loja"
"Store Credit","Crédito da loja"
"Store Credits","Créditos da loja"
"Store Credits History","História dos Créditos de Loja"
"Store View","Exibir loja"
"Store view","Vista da loja"
"Street Address","Endereço"
"Street Address 2","Número"
"Street Address 3","Complemento"
"Street Address 4","Bairro"
"Subject","Sujeito"
"Subtract affiliate account balance immediately when a withdrawal request is created","Subtraia o saldo da conta de Afiliado imediatamente quando uma solicitação de retirada for criada"
"Subtract commission from account balance when creditmemo is created","Subtrair comissão do saldo da conta quando o creditmemo é criado"
"Subtract commission from account balance when order status is","Subtrair comissão do saldo da conta quando o status do pedido é"
"Tax","Imposto"
"Tax Calculation","Cálculo do Imposto"
"Tax class for withdrawal","Classe fiscal para retirada"
"Telephone","Telefone"
"Text","Texto"
"This account has been disabled.","essa conta foi desativada."
"The withdrawal requested cannot exceed your current balance (%s).","O saque solicitado não pode exceder seu saldo atual (%s)."
"The minimum balance allowing withdrawal request is %s","O saldo mínimo que permite a solicitação de saque é %s"
"The system will transfer money to your affiliate account immediately through the paygate.","O sistema transferirá dinheiro para sua conta de Afiliado imediatamente através da porta de pagamento."
"The withdrawal amount cannot exceed the account balance: %s.","O valor da retirada não pode exceder o saldo da conta:%s."
"There are no banners available for this program.","Não há banners disponíveis para este programa."
"There are no items matching this selection.","Não há itens que correspondam a esta seleção."
"There are no referrers matching the criteria.","Não há referenciadores que correspondam aos critérios."
"There was an error when paying by PayPal. Please try again or contact us for help.","Houve um erro ao pagar pelo PayPal. Por favor, tente novamente ou entre em contato conosco para obter ajuda."
"There was an error, please try again.","Houve um erro, por favor, tente novamente."
"There is no payment method on file for your account. Please update your details or contact us to solve the problem.","Não há um método de pagamento registrado na sua conta. Por favor, atualize seus dados ou entre em contato conosco para resolver o problema."
"This account Name is existed. Please enter other account Name.","Este nome da conta existe. Por favor, insira o nome da outra conta."
"This account has already had a pending payment!","Esta conta já teve um pagamento pendente!"
"This account has one payment waiting need to be processed.","Esta conta tem uma espera de pagamento precisa ser processada."
"This action cannot be restored. Are you sure?","Esta ação não pode ser restaurada. Você tem certeza?"
"This field will be updated to your profile.","Este campo será atualizado para o seu perfil."
"This message has been posted successfully.","Esta mensagem foi postada com sucesso."
"This month","Este mês"
"This payment is completed successfully.","Este pagamento é concluído com sucesso."
"The payment is being processed","O pagamento está sendo processado"
"This payment method is not available, please choose an alternative payment method.","Este método de pagamento não está disponível. Por favor, escolha um método de pagamento alternativo."
"This payout has been transfered successfully!","Este pagamento foi transferido com sucesso!"
"This payout has not been transfered!","Este pagamento não foi transferido!"
"This week","Esta semana"
"This year","Este ano"
"Tier Commission","Comissão de Nível"
"Time","Tempo"
"Title","Título"
"Title: %s","Título: %s"
"To","Para"
"To Account","Para conta"
"To Date","Até a presente data"
"Today","Hoje"
"Total","Total"
"Total %s of %s transaction(s) were canceled successfully.","%s total de transações de %s foram canceladas com sucesso."
"Total Amount","Valor total"
"Total Clicks","Cliques totais"
"Total Commissions Received","Total de Comissões Recebidas"
"Total Commission","Comissão Total"
"Total Earnings: ","Ganhos totais:"
"Total Orders","Total de pedidos"
"Total Paid","Total Pago"
"Total Received","Total Recebido"
"Total Sales","Vendas totais"
"Total Transactions: ","Transações Totais:"
"Traffic Source","Fonte de tráfego"
"Traffic Summary","Resumo do tráfego"
"Traffic sources","Fontes de tráfego"
"Traffic statistics","Estatísticas de tráfego"
"Traffics","Tráfego"
"Transaction Detail","Detalhe da Transação"
"Transaction Detail:","Detalhe da Transação:"
"Transaction ID","ID de transação"
"Transaction Id: ","ID da transação:"
"Transaction Information","Informação de transação"
"Transaction Manager","Gerente de Transações"
"New Transaction","Nova Transação"
"Transaction detail","Detalhe da transação"
"The transaction does not exist.","A transação não existe."
"Transaction was canceled successfully","A transação foi cancelada com sucesso"
"Transactions","Transações"
"Transaction Manager","Gerente de Transações"
"Tweet","Tweet"
"Twitter","Twitter"
"Type","Tipo"
"Type: Flash","Tipo: Flash"
"Type: Image","Tipo: Imagem"
"Type: Text","Tipo: texto"
"Unable to find an account to update","Não foi possível encontrar uma conta para atualizar"
"Unable to find a banner to save","Não é possível encontrar um banner para salvar"
"Unable to find payment to review","Não foi possível encontrar o pagamento para revisar"
"Unable to find payment to save","Não foi possível encontrar o pagamento para salvar"
"Unique Clicks","Cliques exclusivos"
"Unique Clicks","Cliques exclusivos"
"Use Default","Use o padrão"
"Use commission as store credit","Use comissão como crédito na loja"
"Use different commission from 2nd order of a Customer","Use comissão diferente da segunda ordem de um cliente"
"Use different discount from 2nd order of a Customer","Use desconto diferente da segunda ordem de um cliente"
"Use money on your affiliate balance","Use dinheiro no seu saldo de Afiliado"
"Enter an amount in your balance to spend on this order","Insira um valor em seu saldo para gastar neste pedido"
"Use standard magento image link to track banner","Use o link padrão da imagem magento para rastrear o banner"
"Using API","Usando a API"
"Used when transaction is canceled, completed or reduced commission","Usado quando a transação é cancelada, concluída ou comissões reduzidas"
"VIA","ATRAVÉS DA"
"Verification","Verificação"
"Verification Form","Formulário de Verificação"
"Verified","Verificado"
"Verify","Verificar"
"Verify Domain","Verificar o domínio"
"View","Ver"
"View Affiliate Account Details","Visualizar detalhes da conta do Afiliado"
"View Customer Details","Visualizar detalhes do cliente"
"View History","Ver histórico"
"View Invoice","Visualizar fatura"
"View Order","Visualizar pedido"
"View Order Details","Visualizar detalhes do pedido"
"View Product Details","Ver detalhes do produto"
"View Transaction","Visualizar transação"
"View Transaction of ","Ver transação de"
"View Withdrawal for ","Ver retirada para"
"Waiting","Esperando"
"Thank you for signing up for our Affiliate program. Your registration will be reviewed and we'll inform you as soon as possible.","Obrigado por se inscrever no nosso programa de Afiliados. Sua inscrição será analisada e nós lhe informaremos o mais breve possível."
"Website","Local na rede Internet"
"Weekly","Semanal"
"Welcome To Our Affiliate Program!","Bem-vindo ao nosso programa de Afiliados!"
"Welcome page using CMS","Página de boas-vindas usando o CMS"
"When there's shopping cart discount, apply","Quando há desconto no carrinho de compras, aplique"
"Who pays transaction fee","Quem paga a taxa de transação"
"Withdrawal Amount","Quantia retirada"
"Withdrawal Description","Descrição de retirada"
"Withdrawal Email","E-mail de retirada"
"Withdrawal Information","Informações sobre retirada"
"Withdrawal Method","Método de retirada"
"New Withdrawal","Nova retirada"
"Withdrawal detail","Detalhe de retirada"
"Withdrawal History","Histórico de retirada"
"Withdrawal information","Informações de retirada"
"Withdrawal not found!","Retirada não encontrada!"
"Withdrawal was successfully canceled!","A retirada foi cancelada com sucesso!"
"Your withdrawal request has been deleted.","Sua solicitação de retirada foi excluída."
"Your withdrawal request has been saved.","Sua solicitação de retirada foi salva."
"Withdrawals","Retiradas"
"Withdrawal Configuration","Configuração de retirada"
"Withdrawal History","Histórico de retirada"
"Withdrawal Manager","Gerente de Saque"
"XML","XML"
"Yahoo","Yahoo"
"Yearly","Anual"
"Yearly additional commissions","Comissões adicionais anuais"
"Yes","Sim"
"You are having a pending request!","Você está tendo um pedido pendente!"
"You have logged in successfully.","Você está logado com sucesso."
"You are spending","Você está gastando"
"You are using a trial version of %s extension. It will be expired on %s.","Você está usando uma versão de teste da %s extensão. Será expirado em %s."
"You can change this email address on the Edit Account page.","Você pode alterar esse endereço de e-mail na página Editar conta."
"You can use this email address.","Você pode usar este endereço de e-mail."
"You already had an affiliate account, please log in.","Você já tinha uma conta de Afiliado, faça o login."
"Your account information has been saved.","As informações da sua conta foram salvas."
"Your affiliate registration is awaiting for approval. Please be patient.","Seu registro de Afiliado está aguardando aprovação. Por favor, seja paciente."
"Your affiliate account is currently disabled. Please contact us to resolve this issue.","Sua conta de Afiliado está desativada no momento. Entre em contato conosco para resolver esse problema."
"Your affiliate store credit has been applied successfully","O crédito da sua loja Afiliado foi aplicado com sucesso"
"Your payout was not transfered and saved!","Seu pagamento não foi transferido e salvo!"
"Your personal affiliate URL","Seu URL de Afiliado pessoal"
"Your request has been cancelled successfully!","Sua solicitação foi cancelada com sucesso!"
"Your request has been sent to admin for approval.","Sua solicitação foi enviada para o administrador para aprovação."
"Zip/Postal Code","CEP / Código Postal"
"dateinput","data de entrada"
"(days). If empty or zero, affiliates' commission will not be hold back.","(dias). Se vazio ou zero, a comissão dos Afiliados não será retida."
"days. 0 or empty is unlimited.","dias. 0 ou vazio é ilimitado."
"discount","desconto"
"discount on each order","desconto em cada pedido"
"discount on each purchased item","desconto em cada item adquirido"
"for next orders","para os próximos pedidos"
"for the first order of a customer","para o primeiro pedido de um cliente"
"get contacts from gmail","obter contatos do gmail"
"get contacts from yahoo","obter contatos do yahoo"
"on each purchased item","em cada item comprado"
"per page","por página"
"Payment not found!","Pagamento não encontrado"
"You are having a waiting request!","Sua solicitação será processada o mais breve possível. Por favor, seja paciente."
"Please enter a valid custom url","Insira um URL personalizado para um produto ou página que você deseja promover"
"This url already exists. Please choose another custom url.","Você já tem um link para esse URL, use-o ou insira um URL diferente."
"Your custom url has been saved successfully!","Obrigado. Seu URL personalizado foi salvo."
"No email address is available!","Nenhum endereço de e-mail está disponível."
"Feedbacks Manager","Gerenciador de Feedback"
"Post Feedback","Postar feedback"
"Save","Salvar"
"Resend","Reenviar"
"Edit Feedback for ","Editar feedback para"
"Feedback Code","Código de feedback"
"Extension","Extensão"
"Coupon","Cupom"
"Posted","Postou"
"Is Sent","É enviado"
"Feedback Detail","Detalhe do Feedback"
"Post Message","Postar mensagem"
"View Posted Message","Ver mensagem postada"
"Feedback detail","Detalhes do feedback"
"Sent to Magestore.com","Enviado para Magestore.com"
"Not sent to Magestore.com","Não enviado para Magestore.com"
"for discount","para desconto"
