"%s","%s"
"API Password","Senha da API"
"Fee Value","Valor da taxa"
"Fee: ","Taxa: "
"First Name","Primeiro Nome"
"Invoice Address","Endereço da fatura"
"Invoice Number","Número da fatura"
"Is Recurring","é recorrente"
"Is Recurring Payment","é pagamento recorrente"
"Label","Etiqueta"
"Last Name","Sobrenome"
"Maximum accounts","Máximo de contas"
"Maximum accounts can receive payout per cron. Put 0 for unlimited accounts.","Contas máximas podem receber pagamento por cron. Coloque 0 para contas ilimitadas."
"Message","Mensagem"
"Method: ","Método: "
"The minimum balance required to request withdrawal is %s","O saldo mínimo necessário para solicitar a retirada é %s"
"Moneybooker","Moneybooker"
"Moneybooker Email","E-mail do Moneybooke"
"Moneybooker Payment","Pagamento Moneybooker"
"Moneybooker Payment Method","Método de Pagamento Moneybooker"
"Moneybooker: Check in your account profile that the API is enabled and you are posting your requests from the IP address specified","Moneybooker: Verifique no perfil da sua conta que a API está ativada e você está postando suas solicitações a partir do endereço IP especificado"
"Moneybooker: Email address and/or API/MQI password are incorrect, please check your  configuration","Moneybooker: endereço de e-mail e / ou API / senha MQI estão incorretas, por favor, verifique sua configuração"
"Moneybooker: Email address and/or password were not provided","Moneybooker: endereço de e-mail e / ou senha não foram fornecidos"
"Moneybooker: Sending amount exceeds account balance.","Moneybooker: O valor de envio excede o saldo da conta."
"Moneybooker: This account is currently locked.","Moneybooker: Esta conta está atualmente bloqueada."
"Moneybooker: This email is invalid.","Moneybooker: Este e-mail é inválido."
"Moneybooker: Transfer failed.","Moneybooker: Transferência falhou."
"Moneybookers merchant email","E-mail comercial do Moneybookers"
"Monthly","Mensalmente"
"N/A","N/A"
"Name","Nome"
"Need at least one active method payment","Precisa de pelo menos um pagamento de método ativo"
"New Address","Novo endereço"
"New Bank Account","Nova conta bancária"
"New Password","Novo senha"
"No","Não"
"Not verified","Não verificado"
"Offline Payment","Pagamento off-line"
"Offline Payment Method","Método de pagamento off-line"
"Paid sucessful","Pago com sucesso"
"PayPal Payment","Pagamento PayPal"
"PayPal Payment Method","Método de pagamento do PayPal"
"PayPal merchant email","E-mail de comerciante do PayPal"
"Payment Address","Endereço de pagamento"
"Payment Fee Type","Tipo de taxa de pagamento"
"Payment Method","Método de pagamento"
"Payout Amount","Montante de Pagamento"
"Payout type","Tipo de pagamento"
"Paypal","Paypal"
"Paypal Email","Paypal Email"
"Pending","Pendente"
"Period of auto payout","Período de pagamento automático"
"Please chose an available payment method!","Por favor, escolha um método de pagamento disponível!"
"Please fill out all required fields in the form below.","Por favor, preencha todos os campos obrigatórios no formulário abaixo."
"Please select region, state or province","Por favor, selecione região, estado ou província"
"Processing","Processando"
"Receive Notification Email","Receber e-mail de notificação"
"Receive money by Recurring Payment","Receber dinheiro por pagamento recorrente"
"Recurring Payment ","Pagamento Recorrente"
"Recurring Payment Configuration","Configuração de Pagamento Recorrente"
"Recurring Payment Method","Método de Pagamento Recorrente"
"Recurring pay for account that has a pending request","Pagamento recorrente para conta que tenha uma solicitação pendente"
"Date Requested","Data de solicitação"
"Require Authentication","Requer autenticação"
"Required Fields","Campos obrigatórios"
"Routing Code: %s","Código do banco: %s"
"SWIFT Code: %s","Agência: %s"
"Sandbox Mode","Sandbox Mode"
"Save","Salvar"
"Select an address from your address book or enter a new address.","Selecione um endereço do seu catálogo de endereços ou digite um novo endereço."
"Select an existing bank account or enter a new account.","Selecione uma conta bancária existente ou insira uma nova conta."
"Select the payment method","Selecione o método de pagamento"
"Send Email Notification to Affiliate","Enviar notificação por e-mail para Afiliado"
"Send Email to Admins","Enviar e-mail para administradores"
"Send Request","Enviar Pedido"
"State/Province","Estado / Província"
"Status","Status"
"Street Address","Endereço da rua"
"Street Address %s","Endereço da rua %s"
"Subject of notification email","Assunto do email de notificação"
"Telephone","Telefone"
"The withdrawal requested cannot exceed your current balance (%s).","O saque solicitado não pode exceder seu saldo atual (%s)."
"The number of days if you chose Custom period","O número de dias se você escolheu Período personalizado"
"There is no payment method on file for your account. Please update your details or contact us to solve the problem.","Não há um método de pagamento registrado em sua conta. Atualize seus detalhes ou entre em contato para resolver o problema."
"This field will be updated to your profile.","Este campo será atualizado para o seu perfil."
"This payment method is not available, please choose an alternative payment method.","Este método de pagamento não está disponível, por favor, escolha um método de pagamento alternativo."
"Transaction ID","ID de transação"
"Transaction Id: ","ID de transação: "
"Transfer Information","Transferência de Informações"
"Use Recurring Payment Moneybookers API","Usar a API do Moneybookers de Pagamento Recorrente"
"Use Recurring Payment PayPal API","Usar a API do PayPal de pagamento recorrente"
"Use your MoneyBookers Merchant Email Default on Moneybookers Config","Use seu padrão de email do comerciante do MoneyBookers na configuração do Moneybookers"
"Use your PayPal Merchant Email Default on Paypal Config","Use seu padrão de e-mail do comerciante do PayPal na configuração do Paypal"
"Verified","Verificado"
"Weekly","semanal"
"Who pay fee","Quem paga taxa"
"Withdrawal Information","Informações sobre Retirada"
"Yearly","Anualmente"
"Yes","Sim"
"Yes if you want to transfer money to your affiliate account immediately through the paygate","Sim, se você quiser transferir dinheiro para sua conta de Afiliado imediatamente através do portal de pagamento"
"You are having a pending request!","Você está tendo um pedido pendente!"
"You can change this email address on the Edit Account page.","Você pode alterar este endereço de e-mail na página Editar conta."
"You need to upload an image of  your Bank Statement to verify your account.","Você precisa fazer o upload de uma imagem do extrato bancário para verificar sua conta."
"You need to upload an image of your house or your address in any reasonable documents to verify your address.","Você precisa fazer o upload de uma imagem de sua casa ou seu endereço em qualquer documento razoável para confirmar seu endereço."
"Your request has been sent to admin for approval.","Sua solicitação foi enviada para aprovação do administrador."
"Zip/Postal Code","Código Postal / CEP"
